Query;Last 28 days Clicks;Previous 28 days Clicks;Last 28 days Impressions;Previous 28 days Impressions;Last 28 days CTR;Previous 28 days CTR;Last 28 days Position;Previous 28 days Position;
stack marketing;1;0;53;0;1.89%;0%;3.43;0;
tactical objectives examples;1;0;50;0;2%;0%;1.48;0;
power bi vs google data studio;1;1;50;26;2%;3.85%;10.34;11.04;
sem ads examples;1;0;49;0;2.04%;0%;6.9;0;
last click attribution is dead;1;1;48;42;2.08%;2.38%;4.48;4.55;
certification blueprint;1;0;48;0;2.08%;0%;5.85;0;
data from different sources;1;1;48;18;2.08%;5.56%;6.23;5.72;
data driven en francais;1;1;48;22;2.08%;4.55%;6.62;6.86;
programmatique définition;1;1;48;29;2.08%;3.45%;10.73;11.83;
what is google.ca;1;0;47;0;2.13%;0%;6.4;0;
key user traduction;1;0;47;0;2.13%;0%;9.72;0;
certification facebook blueprint;1;1;47;45;2.13%;2.22%;14.57;15.36;
natures touch;1;0;47;0;2.13%;0%;26.89;0;
bon client;1;0;46;0;2.17%;0%;3.87;0;
richsnippets;1;1;46;49;2.17%;2.04%;15.13;13.12;
social media content brief template;1;0;45;0;2.22%;0%;4.62;0;
qualité gestion de projet;1;0;45;0;2.22%;0%;12.6;0;
profitabilité et rentabilité exemple;1;1;44;28;2.27%;3.57%;9.02;9.39;
largeur newsletter;1;1;44;41;2.27%;2.44%;9.64;10.95;
business case;1;0;44;0;2.27%;0%;78.02;0;
bouton partage;1;1;43;26;2.33%;3.85%;3.42;2.08;
rentabilité profitabilité;1;2;43;34;2.33%;5.88%;5.74;7.21;
application concours facebook gratuit;1;0;42;0;2.38%;0%;10.98;0;
transformation digitale montreal;1;0;42;0;2.38%;0%;17.95;0;
content brief sample;1;0;41;0;2.44%;0%;6.2;0;
objective of strategy;1;0;40;0;2.5%;0%;1.52;0;
facebook ads in different language;1;0;40;0;2.5%;0%;8.25;0;
objectif strategique;1;1;39;10;2.56%;10%;9.33;9;
contenu généré par les utilisateurs;1;0;39;0;2.56%;0%;18.51;0;
goal objective strategy tactic example;1;4;38;37;2.63%;10.81%;1.71;2.38;
how to be a good client;1;1;38;30;2.63%;3.33%;6.89;7.57;
google data studio wiki;1;1;38;31;2.63%;3.23%;13.5;12;
strategies vs objectives;1;4;37;35;2.7%;11.43%;2.11;3.06;
recherche à facette;1;1;36;27;2.78%;3.7%;2.69;2.52;
marketing de masse exemple;1;0;36;0;2.78%;0%;5.92;0;
google analytics in r;1;0;36;0;2.78%;0%;7.44;0;
torent 411;1;1;36;57;2.78%;1.75%;9.22;6.4;
insight traduction francais;1;0;36;0;2.78%;0%;9.61;0;
how to write insights from data;1;1;36;33;2.78%;3.03%;10.72;11.94;
goals objectives tactics;1;4;35;31;2.86%;12.9%;1.11;1;
objectives goals strategies;1;0;35;0;2.86%;0%;2.66;0;
profitabilité rentabilité;1;2;35;27;2.86%;7.41%;4.86;5.22;
goals vs objectives vs strategies;1;6;35;42;2.86%;14.29%;5.43;5.64;
goals and strategy;1;0;35;0;2.86%;0%;5.63;0;
taux de notoriété calcul;1;0;35;0;2.86%;0%;8;0;
operational rigor meaning;1;0;35;0;2.86%;0%;9.49;0;
rich snippets in seo;1;0;35;0;2.86%;0%;12.57;0;
pages vues;1;0;35;0;2.86%;0%;22.97;0;
marketing ia;1;1;35;35;2.86%;2.86%;23.09;35.46;
accessibilité seo;1;1;34;34;2.94%;2.94%;3.09;3;
digital strategy service;1;0;34;0;2.94%;0%;4.26;0;
post click attribution;1;1;34;33;2.94%;3.03%;5.09;4.97;
brand marketing analytics;1;2;34;36;2.94%;5.56%;7.53;17.97;
difference between strategy and goal;1;0;33;0;3.03%;0%;6.76;0;
consultant transformation numérique;1;0;33;0;3.03%;0%;8.27;0;
calcul taux de notoriété;1;0;33;0;3.03%;0%;9.85;0;
agence numerique quebec;1;0;33;0;3.03%;0%;10.09;0;
impact of organizational culture on project success;1;0;33;0;3.03%;0%;11.3;0;
culture and project management;1;0;32;0;3.12%;0%;6.59;0;
comment calculer le taux de notoriété d'une entreprise;1;0;32;0;3.12%;0%;7;0;
rich snipet;1;1;32;16;3.12%;6.25%;7.97;6.38;
calendrier editorial;1;0;32;0;3.12%;0%;9.59;0;
goals strategies tactics template;1;0;31;0;3.23%;0%;1;0;
strategy goals and objectives;1;0;31;0;3.23%;0%;1;0;
itm tracking;1;0;30;0;3.33%;0%;6.9;0;
mission objective strategy tactics;1;0;29;0;3.45%;0%;2.9;0;
mesurer la notoriété d'une marque;1;0;29;0;3.45%;0%;6.93;0;
programatique;1;1;29;29;3.45%;3.45%;17.41;12.34;
goals objectives and strategies;1;1;28;14;3.57%;7.14%;1.29;1.21;
brief content meaning;1;2;28;14;3.57%;14.29%;3.25;2.86;
google analytics and r;1;3;28;14;3.57%;21.43%;5.54;6.21;
olivier nicolas scott;1;0;28;0;3.57%;0%;6.39;0;
marketing automation questions;1;1;28;28;3.57%;3.57%;7.82;5.14;
google analytics analysis beta;1;0;28;0;3.57%;0%;12.46;0;
how to write a content brief;1;3;27;19;3.7%;15.79%;4.44;6.16;
je déteste le lundi;1;1;27;14;3.7%;7.14%;5.22;5.43;
data insight traduction;1;4;27;18;3.7%;22.22%;5.26;5.72;
strategie tactique;1;0;27;0;3.7%;0%;9.56;0;
goals vs objectives in strategic planning;1;0;27;0;3.7%;0%;13.3;0;
media objectives strategies and tactics;1;0;26;0;3.85%;0%;3.77;0;
goal strategy objective;1;0;26;0;3.85%;0%;4.23;0;
strategic goals vs objectives;1;2;26;18;3.85%;11.11%;5.38;6.28;
game changer expression;1;1;26;9;3.85%;11.11%;10.08;5.22;
facebook segmentation;1;0;26;0;3.85%;0%;35.08;0;
analytics r;1;1;26;25;3.85%;4%;37.88;37.08;
je hais le lundi;1;0;25;0;4%;0%;2.16;0;
xavier mainville;1;0;25;0;4%;0%;3.2;0;
certification blueprint facebook;1;0;25;0;4%;0%;7.4;0;
torrent411.com;1;1;25;18;4%;5.56%;7.4;8.44;
stratégie numerique;1;0;25;0;4%;0%;14.24;0;
marketing agency montreal;1;0;25;0;4%;0%;88.44;0;
website content brief;1;4;24;19;4.17%;21.05%;2.96;3.58;
dashboard data analysis;1;0;24;0;4.17%;0%;4.83;0;
tactique marketing;1;0;24;0;4.17%;0%;6.38;0;
adobe attribution model;1;0;24;0;4.17%;0%;7.88;0;
tactical objectives definition;1;0;24;0;4.17%;0%;8.25;0;
cheat sheet en francais;1;0;24;0;4.17%;0%;8.88;0;
j'aime pas les lundis;1;1;24;17;4.17%;5.88%;8.88;8.18;
snippets in seo;1;0;24;0;4.17%;0%;17.96;0;
appelez-nous au téléphone;1;0;23;0;4.35%;0%;3.83;0;
marketing strategy vs tactics examples;1;0;23;0;4.35%;0%;5.96;0;
script adwords;1;0;23;0;4.35%;0%;12.48;0;
analyse des parties prenantes;1;0;23;0;4.35%;0%;13.91;0;
business rigor;1;0;22;0;4.55%;0%;5.59;0;
what is the difference between strategy and objective;1;1;21;11;4.76%;9.09%;3.67;3.91;
difference between goals objectives strategies and tactics;1;2;21;11;4.76%;18.18%;5.05;5.64;
ux seks;1;0;20;0;5%;0%;1;0;
objectives strategy;1;0;20;0;5%;0%;1.1;0;
culture in project management;1;0;20;0;5%;0%;7.45;0;
google analytics with r;1;2;20;21;5%;9.52%;7.8;9.43;
notre equipe;1;0;20;0;5%;0%;8.2;0;
formation adobe analytics;1;0;20;0;5%;0%;8.85;0;
bouton partager facebook html;1;0;20;0;5%;0%;10.7;0;
planification tactique;1;0;20;0;5%;0%;27.45;0;
off facebook activity;1;0;20;0;5%;0%;42.05;0;
objective vs tactic;1;3;19;11;5.26%;27.27%;1;1;
sustainable digital marketing;1;5;19;18;5.26%;27.78%;2.89;2.22;
strategies and objectives;1;1;19;18;5.26%;5.56%;3.16;3.28;
difference between strategies and objectives;1;1;19;14;5.26%;7.14%;3.89;4.64;
difference between strategic goals and objectives;1;0;19;0;5.26%;0%;5.05;0;
guide style;1;0;19;0;5.26%;0%;5.47;0;
power bi google data studio;1;0;19;0;5.26%;0%;10.05;0;
dmp company;1;0;19;0;5.26%;0%;15.37;0;
game changer definition;1;0;19;0;5.26%;0%;15.58;0;
concours facebook application;1;3;18;25;5.56%;12%;2.06;3.4;
telecharger power editor facebook;1;1;18;14;5.56%;7.14%;2.22;2.64;
describe how organizational culture is related to project management;1;0;18;0;5.56%;0%;3.56;0;
comment mesurer la notoriété;1;3;18;13;5.56%;23.08%;4.28;4;
goals vs tactics;1;0;18;0;5.56%;0%;4.72;0;
différence entre stratégie et plan d'action;1;4;18;18;5.56%;22.22%;5.28;3.78;
google analytics pages vues;1;0;18;0;5.56%;0%;7;0;
cookie pocalypse;1;0;18;0;5.56%;0%;7.67;0;
content briefing template;1;1;18;7;5.56%;14.29%;7.89;6.86;
programmatique marketing;1;0;18;0;5.56%;0%;11.11;0;
google power bi;1;1;18;12;5.56%;8.33%;18.39;20.25;
google ads auction;1;0;18;0;5.56%;0%;26.72;0;
objectives tactics strategies;1;0;17;0;5.88%;0%;1.12;0;
goals objective strategies and tactics;1;0;17;0;5.88%;0%;1.18;0;
strategy goals tactics;1;0;17;0;5.88%;0%;1.29;0;
objective goal strategy;1;2;17;16;5.88%;12.5%;3.41;3.88;
objectives and strategy;1;0;17;0;5.88%;0%;3.71;0;
objective strategies;1;0;16;0;6.25%;0%;1;0;
itm google analytics;1;1;16;12;6.25%;8.33%;2.62;3.58;
stratégie exemple;1;1;16;15;6.25%;6.67%;5.44;6.4;
difference between goals strategies and tactics;1;0;16;0;6.25%;0%;5.69;0;
marketing de masse avantages;1;1;16;24;6.25%;4.17%;7.44;7.5;
outreach francais;1;0;16;0;6.25%;0%;10.31;0;
cible objectif;1;0;16;0;6.25%;0%;11.25;0;
google ads app install;1;0;16;0;6.25%;0%;12;0;
agence web montréal;1;0;16;372;6.25%;0%;97.38;92.49;
paradoxe de la gestion de projet;1;0;15;0;6.67%;0%;4.13;0;
key insights traduction;1;0;15;0;6.67%;0%;6.13;0;
consultant en transformation numérique;1;0;15;0;6.67%;0%;7.47;0;
google data studio or power bi;1;0;15;0;6.67%;0%;9.33;0;
strategie adwords;1;3;15;28;6.67%;10.71%;19.47;41;
dmp audiences;1;0;15;0;6.67%;0%;32.87;0;
data driven francais;1;0;14;0;7.14%;0%;6.36;0;
nombre utilisateurs amazon;1;1;14;8;7.14%;12.5%;7.43;7.88;
les indicateurs de mesure du marché;1;0;14;0;7.14%;0%;7.93;0;
tactique stratégique;1;0;14;0;7.14%;0%;8.71;0;
nombre de caractères post facebook;1;0;14;0;7.14%;0%;10.57;0;
analytics strategy template;1;0;13;0;7.69%;0%;4.15;0;
jf renaud;1;1;13;10;7.69%;10%;4.92;3.7;
masse marketing;1;0;13;0;7.69%;0%;5.77;0;
niveau stratégique tactique et opérationnel;1;1;13;14;7.69%;7.14%;5.77;6.57;
moulaye traore;1;3;13;18;7.69%;16.67%;6.38;7.28;
data analytic dashboard;1;0;13;0;7.69%;0%;7.92;0;
internal link tracking google analytics;1;1;13;16;7.69%;6.25%;8.85;10.12;
data studio power bi;1;0;13;0;7.69%;0%;9.08;0;
stm tous azimut;1;0;13;0;7.69%;0%;9.85;0;
torren 411;1;1;13;8;7.69%;12.5%;12.46;10.75;
role du marketing;1;0;13;0;7.69%;0%;16.46;0;
plan de contenu;1;1;12;9;8.33%;11.11%;4.08;7.44;
content brief templates;1;1;12;14;8.33%;7.14%;7.42;6.79;
traduction de insight;1;0;12;0;8.33%;0%;9.58;0;
most mission objectives strategy tactics;1;0;12;0;8.33%;0%;11.08;0;
media technology;1;0;12;0;8.33%;0%;12;0;
safari (in-app) google analytics;1;0;12;0;8.33%;0%;35.08;0;
pyramide stratégique tactique opérationnel;1;0;11;0;9.09%;0%;1;0;
comment inciter les clients à acheter;1;2;11;12;9.09%;16.67%;3.09;2.42;
les rich snippets;1;1;11;11;9.09%;9.09%;3.45;4.55;
describe how organizational culture is related to project management.;1;0;11;0;9.09%;0%;3.73;0;
taille image email;1;0;11;0;9.09%;0%;5.18;0;
what is the difference between a goal and a strategy;1;0;11;0;9.09%;0%;5.82;0;
media numérique;1;0;11;0;9.09%;0%;6.55;0;
cheat sheet francais;1;0;11;0;9.09%;0%;7.18;0;
culture organisationnelle et leadership;1;0;11;0;9.09%;0%;8.82;0;
microsoft power bi vs google data studio;1;0;11;0;9.09%;0%;9.18;0;
insight traduction marketing;1;0;11;0;9.09%;0%;10.82;0;
google tag man;1;0;11;0;9.09%;0%;11.27;0;
e commerce company structure;1;0;11;0;9.09%;0%;28.64;0;
digital media strategist;1;0;11;0;9.09%;0%;38.55;0;
exemples d'objectifs stratégiques d'une entreprise;1;0;10;0;10%;0%;3.3;0;
exemple objectifs stratégiques d'une entreprise;1;0;10;0;10%;0%;4.3;0;
project rigor;1;0;10;0;10%;0%;4.4;0;
one pagers;1;2;10;9;10%;22.22%;6.7;5.22;
r and google analytics;1;0;10;0;10%;0%;6.7;0;
niveau tactique;1;2;10;5;10%;40%;7.8;4.4;
track internal links google analytics;1;0;10;0;10%;0%;9.2;0;
brand reputation measurement;1;1;10;11;10%;9.09%;9.4;9.73;
exemple enjeux et objectif;1;0;10;0;10%;0%;13;0;
framework e commerce;1;0;10;0;10%;0%;17.1;0;
insight exploitable;1;0;9;0;11.11%;0%;2.67;0;
guide de style web;1;0;9;0;11.11%;0%;5.44;0;
one pager;1;0;9;0;11.11%;0%;5.89;0;
marché de l'alimentation;1;0;9;0;11.11%;0%;11.11;0;
how to generate insights from data;1;1;9;1;11.11%;100%;15;8;
safari in-app;1;2;9;6;11.11%;33.33%;16;8;
elsa badinier;1;0;8;0;12.5%;0%;1.5;0;
tactics vs objectives;1;0;8;0;12.5%;0%;3.38;0;
lisa camier;1;0;8;0;12.5%;0%;5.5;0;
2022 apocalypse;1;0;8;0;12.5%;0%;5.62;0;
google data studio vs power bi 2019;1;0;8;0;12.5%;0%;7.88;0;
generating insights from data;1;0;8;0;12.5%;0%;12.25;0;
my little box canada;1;2;8;21;12.5%;9.52%;12.62;11.05;
définition programmatique;1;0;8;0;12.5%;0%;13.38;0;
difference strategy and tactics;1;0;8;0;12.5%;0%;37.5;0;
dimension email;1;0;7;0;14.29%;0%;3.57;0;
stratégie et plan d'action;1;1;7;9;14.29%;11.11%;6.43;7.33;
publier sur plusieurs pages facebook;1;0;7;0;14.29%;0%;9.86;0;
payer une contravention ville de montréal;1;0;7;0;14.29%;0%;10;0;
2020 voice search;1;1;7;2;14.29%;50%;10.14;8.5;
adwords app download;1;0;7;0;14.29%;0%;12.14;0;
impact of cultural diversity in project management;1;0;7;0;14.29%;0%;16.29;0;
stratégie numérique du québec;1;0;7;0;14.29%;0%;16.86;0;
social media impact;1;0;7;0;14.29%;0%;41.14;0;
voice search 2019;1;0;7;0;14.29%;0%;53.86;0;
due diligence retail business;1;0;7;0;14.29%;0%;56.14;0;
subscription based business model;1;0;6;0;16.67%;0%;3.83;0;
how do you measure reputation;1;0;6;0;16.67%;0%;5.67;0;
liste des articles;1;0;6;0;16.67%;0%;6.83;0;
objectifs stratégiques définition;1;0;6;0;16.67%;0%;7.67;0;
analytics omniture;1;1;6;3;16.67%;33.33%;8.17;9.33;
nombre utilisateur amazon;1;0;6;0;16.67%;0%;9;0;
benefits of subscription boxes;1;0;6;0;16.67%;0%;10.83;0;
jacques pigeon;1;0;6;0;16.67%;0%;30.17;0;
facebook certified media buying professional;1;0;6;0;16.67%;0%;32.83;0;
consumer impact marketing;1;0;6;0;16.67%;0%;34.67;0;
jennifer durocher;1;0;6;0;16.67%;0%;44.5;0;
structure organisationnelle entreprise;1;0;6;0;16.67%;0%;49.5;0;
format invitation mail;1;0;5;0;20%;0%;3.6;0;
create actionable insights;1;0;5;0;20%;0%;5.2;0;
combiner les données data studio;1;0;5;0;20%;0%;6;0;
digitoa;1;0;5;0;20%;0%;9.6;0;
taux de rebond moyen 2019;1;0;5;0;20%;0%;9.8;0;
stratégie d'organisation;1;0;5;0;20%;0%;10.6;0;
objectifs stratégiques et opérationnels;1;0;5;0;20%;0%;13;0;
vision mission objectifs stratégie;1;0;5;0;20%;0%;14.4;0;
marketing intelligence artificielle;1;0;5;0;20%;0%;15.4;0;
cirque du soleil marketing strategy;1;0;5;0;20%;0%;16.2;0;
nautilus plus prix;1;0;5;0;20%;0%;20;0;
guide marketing automation;1;0;5;0;20%;0%;38.2;0;
objectives strategies and tactics examples;1;2;4;7;25%;28.57%;1;1;
strategies tactics and objectives;1;1;4;10;25%;10%;1;1.3;
grc google;1;0;4;0;25%;0%;4.25;0;
types d'organisation du travail;1;0;4;0;25%;0%;4.75;0;
strategie ux;1;0;4;0;25%;0%;6.25;0;
publicités ciblées;1;0;4;0;25%;0%;9.75;0;
impact of social media on consumers;1;0;4;0;25%;0%;10.25;0;
la culture de l'organisation;1;0;4;0;25%;0%;11;0;
certification facebook gratuit;1;0;4;0;25%;0%;18.75;0;
bonheur au travail entreprise;1;0;4;0;25%;0%;29.5;0;
the game changers en francais;1;0;4;0;25%;0%;32;0;
strategy versus tactic;1;0;4;0;25%;0%;33.75;0;
facebook certification exam questions;1;1;4;6;25%;16.67%;42.75;40.33;
marketing des services financiers;1;0;4;0;25%;0%;47.5;0;
agence montreal;1;0;4;0;25%;0%;52.5;0;
avinash kaushik;1;0;4;0;25%;0%;75;0;
bi google data studio;1;0;3;0;33.33%;0%;3;0;
google adwords vs google analytics;1;0;3;0;33.33%;0%;5;0;
chargé de projet qualité;1;0;3;0;33.33%;0%;11;0;
objectifs stratégiques et opérationnels exemples;1;0;3;0;33.33%;0%;14.67;0;
how do subscription boxes work;1;0;3;0;33.33%;0%;15.67;0;
strategie netflix;1;0;3;0;33.33%;0%;16;0;
mise en page responsive;1;0;3;0;33.33%;0%;24.33;0;
yahoo answers vs quora;1;0;3;0;33.33%;0%;24.33;0;
utilisation qr code;1;0;3;0;33.33%;0%;28;0;
dmp programmatic advertising;1;0;3;0;33.33%;0%;30.33;0;
google snipet;1;1;2;1;50%;100%;1;1;
vente de lead;1;0;2;0;50%;0%;2;0;
bounce rate google;1;0;2;0;50%;0%;3;0;
exemple objectif stratégique;1;0;2;0;50%;0%;3;0;
adbiso;1;0;2;0;50%;0%;4;0;
nouveau facebook 2020;1;0;2;0;50%;0%;6;0;
aviso web;1;0;2;0;50%;0%;6.5;0;
analysis beta google analytics;1;0;2;0;50%;0%;9.5;0;
dmp ecommerce;1;0;2;0;50%;0%;10.5;0;
agence marketing numérique montréal;1;0;2;0;50%;0%;11.5;0;
safari (in-app) analytics;1;0;2;0;50%;0%;13;0;
les 5 niveaux d'un produit;1;0;2;0;50%;0%;14;0;
goals objectives actions;1;0;2;0;50%;0%;17.5;0;
supprimer lignes infinies excel;1;0;2;0;50%;0%;18;0;
safari vs safari in app;1;0;2;0;50%;0%;25;0;
equivalent power bi gratuit;1;0;2;0;50%;0%;26;0;
difference between gdn and programmatic;1;0;2;0;50%;0%;28;0;
analyse merchandising magasin;1;0;2;0;50%;0%;32;0;
advizo;1;0;1;0;100%;0%;1;0;
collect data from multiple sources;1;0;1;0;100%;0%;1;0;
seks ux;1;0;1;0;100%;0%;1;0;
how to mass market a product;1;0;1;0;100%;0%;2;0;
in app browser;1;0;1;0;100%;0%;2;0;
organic reach facebook;1;0;1;0;100%;0%;3;0;
style guideline;1;0;1;0;100%;0%;4;0;
webdocu;1;0;1;0;100%;0%;5;0;
entreprise profitable;1;0;1;0;100%;0%;6;0;
game-changer definition;1;0;1;0;100%;0%;6;0;
martech 2019;1;0;1;0;100%;0%;6;0;
objective intelligence;1;0;1;0;100%;0%;6;0;
marketing prospects;1;0;1;0;100%;0%;7;0;
mia marin snapchat;1;0;1;0;100%;0%;7;0;
5 organisation;1;0;1;0;100%;0%;8;0;
pagetracker._trackpageview;1;0;1;0;100%;0%;8;0;
google ads app store;1;0;1;0;100%;0%;9;0;
see think do care framework;1;0;1;0;100%;0%;9;0;
catbreading;1;0;1;0;100%;0%;10;0;
definir strategie;1;0;1;0;100%;0%;11;0;
tactic vs strategy definition;1;0;1;0;100%;0%;12;0;
problématique culture d'entreprise;1;0;1;0;100%;0%;14;0;
stratégie politique tactique;1;0;1;0;100%;0%;17;0;
filtre excel raccourci clavier;1;0;1;0;100%;0%;18;0;
objectifs communication;1;0;1;0;100%;0%;22;0;
facebook blueprint sample questions;1;0;1;0;100%;0%;33;0;
generation.z;1;0;1;0;100%;0%;34;0;
party apocalypse;1;0;1;0;100%;0%;34;0;
why did my facebook change languages;1;0;1;0;100%;0%;50;0;
mieux que tinder;1;0;1;0;100%;0%;163;0;
digital strategy;0;0;3174;6053;0%;0%;61.43;72.14;
nautilus plus;0;1;3150;1368;0%;0.07%;8.36;9.32;
website development;0;0;2398;2012;0%;0%;71.27;75.21;
sem;0;0;2032;1401;0%;0%;61.45;44.18;
seo montreal;0;1;2009;2242;0%;0.04%;27.21;19.83;
lead generation;0;0;1880;1984;0%;0%;40.26;30.39;
google ranking;0;0;1700;309;0%;0%;81.91;74.19;
content marketing;0;0;1663;0;0%;0%;58.8;0;
i search from;0;0;1557;340;0%;0%;8.57;7.98;
data analytics strategy;0;0;1477;1422;0%;0%;9.97;8.56;
facebook blueprint;0;0;1283;907;0%;0%;56.16;53.8;
social media marketing agency;0;0;1201;1482;0%;0%;77.66;70.94;
tactique;0;0;1200;848;0%;0%;12.37;11.42;
strategy page;0;0;1158;1316;0%;0%;2.78;2.35;
lead generation marketing;0;0;1150;749;0%;0%;46.84;25.81;
google analytics;0;0;1088;1059;0%;0%;56.86;46.59;
google keywords;0;1;1026;549;0%;0.18%;71.91;60.46;
google;ca;0;0;989;4138;0%;0%;9.3;8.86
ux strategy;0;0;939;245;0%;0%;80.12;73.18;
transformation numérique;0;1;917;671;0%;0.15%;44.07;48.82;
adobe analytics;0;0;905;286;0%;0%;28.53;23.77;
single customer view;0;0;838;808;0%;0%;61.29;64.14;
analytics strategy;0;0;805;669;0%;0%;2.51;6.63;
google canada;0;1;803;754;0%;0.13%;52.87;49.65;
google ca;0;0;792;862;0%;0%;14.6;10.58;
référencement organique;0;0;770;825;0%;0%;43.94;34.97;
tinder algorithm;0;0;760;1869;0%;0%;1.41;1.74;
marketing analytics;0;0;754;418;0%;0%;64.72;40.72;
online merchandising;0;0;752;916;0%;0%;47.52;38.78;
adwords;0;0;749;756;0%;0%;58.06;47.11;
google adwords;0;0;736;947;0%;0%;65.16;50.01;
digital advertising;0;0;733;303;0%;0%;77.23;86.3;
taux de rebond;0;0;723;659;0%;0%;31.93;29.13;
strategic objectives;0;0;715;759;0%;0%;19.75;33.29;
des mots clés plus;0;0;665;628;0%;0%;143.77;132;
busbud;0;0;614;549;0%;0%;23.96;27.89;
seo services montreal;0;0;610;807;0%;0%;82.17;64.04;
tinder elo;0;0;607;891;0%;0%;1.37;2.01;
rich snippets in search;0;0;593;258;0%;0%;74.07;70.69;
data management platform;0;0;582;189;0%;0%;79.58;87.22;
utm google analytics;0;0;575;545;0%;0%;53.99;56.57;
google optimize;0;0;572;628;0%;0%;67.42;70.35;
google analytics utm;0;0;564;520;0%;0%;42.34;46.01;
mots clés plus;0;0;545;540;0%;0%;71.57;61.31;
what is a cdp;0;0;538;657;0%;0%;47.62;56.32;
vigie;0;2;529;488;0%;0.41%;10.84;9.62;
ad copy;0;0;524;487;0%;0%;42.36;47.45;
content marketing strategist;0;0;523;600;0%;0%;38.87;38.66;
googlecom;0;0;518;2910;0%;0%;7.29;7.07;
google adwords guide;0;0;511;532;0%;0%;80.27;77.83;
des mots clés;0;0;511;508;0%;0%;116.3;96.52;
not provided;0;0;504;532;0%;0%;28.92;28.09;
sem adwords;0;1;497;463;0%;0.22%;16.89;16.81;
seo référencement;0;0;488;524;0%;0%;61.83;71.98;
content marketing analytics;0;0;481;350;0%;0%;74.3;81.61;
not provided google analytics;0;0;478;426;0%;0%;20.88;15.49;
médias sociaux;0;0;475;564;0%;0%;46.08;32.65;
agence seo montréal;0;1;474;527;0%;0.19%;5.25;4.64;
digital media agency;0;0;472;650;0%;0%;68.69;62.4;
conversion rate optimization;0;0;470;587;0%;0%;72.47;82.51;
outsource digital marketing;0;0;467;140;0%;0%;87.8;66.28;
oncrawl;0;0;464;330;0%;0%;35.75;39.83;
seo referencement;0;1;457;601;0%;0.17%;56.39;63.09;
marketing;0;0;454;248;0%;0%;39.23;66.04;
strategy vs tactics;0;0;450;523;0%;0%;38.47;36.14;
profitabilité;0;2;443;201;0%;1%;10.58;11.82;
marketing lead generation;0;0;440;144;0%;0%;50.32;28.5;
lead marketing;0;0;437;0;0%;0%;62.18;0;
web marketing analytics;0;0;435;540;0%;0%;71.45;89.13;
facebook language;0;0;431;232;0%;0%;11.94;13.3;
chuck norris facts;0;0;430;376;0%;0%;56.3;64.51;
marketing numérique;0;0;428;536;0%;0%;52.95;63.52;
data and analytics strategy;0;0;426;408;0%;0%;6.82;5.96;
keyword planner;0;0;423;462;0%;0%;37.66;31.74;
montreal seo company;0;0;416;536;0%;0%;75.14;56.91;
social media agency;0;0;414;322;0%;0%;75.41;95.55;
google keyword planner;0;0;412;485;0%;0%;36.08;24.24;
marketing internet;0;0;404;344;0%;0%;48.38;51.24;
seo company montreal;0;0;404;473;0%;0%;49.38;32.9;
strategy definition;0;0;404;346;0%;0%;50.73;64.26;
content marketing strategy;0;0;399;0;0%;0%;81.82;0;
omni channel analytics;0;0;396;319;0%;0%;49.65;49.51;
search engine optimization montreal;0;0;394;381;0%;0%;27.57;26.69;
what is a lead in marketing;0;0;394;312;0%;0%;45.4;53.69;
keyword;0;0;394;624;0%;0%;52.07;48.42;
what is a dmp;0;0;392;180;0%;0%;44.79;61.54;
what are rich snippets;0;0;389;428;0%;0%;23.22;24.14;
seo rich snippets;0;0;388;390;0%;0%;13.25;14.55;
organizational culture is best explained as organizational;0;0;383;0;0%;0%;10.13;0;
voice search statistics;0;0;382;313;0%;0%;163.35;152.97;
groupe park avenue;0;0;378;229;0%;0%;11.56;11.34;
how many google searches per day;0;0;377;239;0%;0%;88.11;90.33;
strategy tactics;0;0;371;378;0%;0%;6.8;5.3;
example of strategy;0;0;370;190;0%;0%;2.96;1.64;
branding;0;0;370;181;0%;0%;85.08;89.94;
expérience utilisateur;0;1;364;304;0%;0.33%;34.1;49.48;
marketing ai;0;0;362;0;0%;0%;54.14;0;
google analytics premium;0;0;360;358;0%;0%;48.08;61.76;
générer des leads;0;0;354;396;0%;0%;44.99;48.59;
stratégie web;0;0;353;309;0%;0%;33.26;31.84;
google .ca;0;0;348;214;0%;0%;10.16;9.85;
position google;0;0;348;0;0%;0%;72.34;0;
adwords mobile;0;0;345;323;0%;0%;33.34;30.7;
seo agency montreal;0;1;345;400;0%;0.25%;71.27;46.98;
pme mtl;0;0;342;217;0%;0%;6.35;5.88;
strategies and tactics;0;0;341;235;0%;0%;8.23;9.01;
waq;0;0;339;248;0%;0%;37.22;44.49;
conception site web;0;0;338;791;0%;0%;90.72;88.05;
facebook certification;0;0;335;318;0%;0%;31.74;30.85;
what is a customer data platform;0;0;331;0;0%;0%;72.83;0;
analytics;0;0;329;419;0%;0%;42.94;48.59;
stratégie numérique;0;0;328;311;0%;0%;22.19;24.18;
notoriété;0;0;328;573;0%;0%;75.1;76.41;
référencement internet;0;0;326;277;0%;0%;24.88;23.27;
content marketing services;0;0;325;0;0%;0%;47.7;0;
référencement montréal;0;0;324;347;0%;0%;2.95;2.1;
adwords app;0;0;315;317;0%;0%;29.81;33.65;
benchmark;0;0;315;427;0%;0%;39.41;26.49;
omnichannel analytics;0;0;311;247;0%;0%;68.4;71.13;
référencement local;0;0;304;307;0%;0%;70.54;77.66;
digital marketing agency montreal;0;0;304;573;0%;0%;87.75;75.63;
